Node ID,Can Pack,Orig Size,Pack Size,Packing Ratio,Data %,
QuantizedConv2d1002,T,1.05 MB,1.05 MB,100.000,97.573,
QuantizedConv2d1022,T,2.36 MB,2.36 MB,100.000,97.637,
QuantizedConv2d1040,T,1.05 MB,1.05 MB,100.000,98.424,
QuantizedConv2d1066,T,1.05 MB,1.05 MB,100.000,95.055,
QuantizedConv2d1086,T,2.36 MB,2.36 MB,100.000,97.421,
QuantizedConv2d1104,T,1.05 MB,1.05 MB,100.000,98.523,
QuantizedConv2d116,T,16.38 KB,16.38 KB,100.000,93.164,
QuantizedConv2d136,F,36.86 KB,36.86 KB,100.000,94.998,
QuantizedConv2d15,F,9.41 KB,9.41 KB,100.000,94.685,
QuantizedConv2d154,F,65.54 KB,65.54 KB,100.000,97.968,
QuantizedConv2d180,T,16.38 KB,16.38 KB,100.000,98.163,
QuantizedConv2d200,F,36.86 KB,36.86 KB,100.000,97.358,
QuantizedConv2d218,F,65.54 KB,65.54 KB,100.000,98.193,
QuantizedConv2d244,T,32.77 KB,32.77 KB,100.000,97.455,
QuantizedConv2d264,T,147.46 KB,147.46 KB,100.000,97.577,
QuantizedConv2d282,T,65.54 KB,65.54 KB,100.000,98.042,
QuantizedConv2d300,T,131.07 KB,131.07 KB,100.000,96.825,
QuantizedConv2d326,T,65.54 KB,65.54 KB,100.000,96.402,
QuantizedConv2d34,F,4.10 KB,4.10 KB,100.000,95.630,
QuantizedConv2d346,T,147.46 KB,147.46 KB,100.000,95.832,
QuantizedConv2d364,T,65.54 KB,65.54 KB,100.000,97.607,
QuantizedConv2d390,T,65.54 KB,65.54 KB,100.000,96.744,
QuantizedConv2d410,T,147.46 KB,147.46 KB,100.000,96.493,
QuantizedConv2d428,T,65.54 KB,65.54 KB,100.000,97.577,
QuantizedConv2d454,T,65.54 KB,65.54 KB,100.000,97.577,
QuantizedConv2d474,T,147.46 KB,147.46 KB,100.000,97.477,
QuantizedConv2d492,T,65.54 KB,65.54 KB,100.000,98.230,
QuantizedConv2d518,T,131.07 KB,131.07 KB,100.000,97.111,
QuantizedConv2d538,T,589.82 KB,589.82 KB,100.000,97.434,
QuantizedConv2d54,F,36.86 KB,36.86 KB,100.000,95.318,
QuantizedConv2d556,T,262.14 KB,262.14 KB,100.000,98.211,
QuantizedConv2d574,T,524.29 KB,524.29 KB,100.000,97.401,
QuantizedConv2d600,T,262.14 KB,262.14 KB,100.000,96.559,
QuantizedConv2d620,T,589.82 KB,589.82 KB,100.000,96.242,
QuantizedConv2d638,T,262.14 KB,262.14 KB,100.000,97.865,
QuantizedConv2d664,T,262.14 KB,262.14 KB,100.000,96.443,
QuantizedConv2d684,T,589.82 KB,589.82 KB,100.000,97.033,
QuantizedConv2d702,T,262.14 KB,262.14 KB,100.000,98.296,
QuantizedConv2d72,F,65.54 KB,65.54 KB,100.000,97.931,
QuantizedConv2d728,T,262.14 KB,262.14 KB,100.000,96.821,
QuantizedConv2d748,T,589.82 KB,589.82 KB,100.000,96.910,
QuantizedConv2d766,T,262.14 KB,262.14 KB,100.000,98.293,
QuantizedConv2d792,T,262.14 KB,262.14 KB,100.000,96.876,
QuantizedConv2d812,T,589.82 KB,589.82 KB,100.000,97.397,
QuantizedConv2d830,T,262.14 KB,262.14 KB,100.000,98.497,
QuantizedConv2d856,T,262.14 KB,262.14 KB,100.000,97.641,
QuantizedConv2d876,T,589.82 KB,589.82 KB,100.000,97.691,
QuantizedConv2d894,T,262.14 KB,262.14 KB,100.000,98.673,
QuantizedConv2d90,F,65.54 KB,65.54 KB,100.000,96.277,
QuantizedConv2d920,T,524.29 KB,524.29 KB,100.000,97.929,
QuantizedConv2d940,T,2.36 MB,2.36 MB,100.000,98.392,
QuantizedConv2d958,T,1.05 MB,1.05 MB,100.000,98.733,
QuantizedConv2d976,T,2.10 MB,2.10 MB,100.000,98.272,
conv_replaced_AvgPooling2d1118_out,F,6.42 MB,6.42 MB,100.000,100.000,
TOTAL Graph,,30.07 MB,30.07 MB,100.000,97.644,
